label,sentence
23,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",2
24,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",2
25,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",2
26,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",2
27,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",2
28,Sales have risen in other export markets .,2
29,Sales increased due to growing market rates and increased operations .,2
30,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,2
31,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",2
32,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",2
33,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",2
34,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",2
35,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,2
36,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",2
37,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",1
38,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,1
39,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",1
40,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,1
41,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,2
42,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",2
43,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",2
44,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",2
45,Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,2
46,Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,2
47,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",2
48,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",2
49,Net sales of Finnish food industry company L+ñnnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,2
50,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,2
51,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",2
52,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,2
53,Clothing chain Sepp+ñl+ñ 's net sales increased by 7.0 % to EUR 30.8 mn .,2
54,Construction volumes meanwhile grow at a rate of 10-15 percent annually .,2
55,"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",2
56,"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",2
57,"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",2
58,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",2
59,"International sales rose by 59.8 % to EUR 1,244.4 mn .",2
60,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,2
61,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,2
62,"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",2
63,"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",2
64,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,2
65,Operating profit margin increased from 11.2 % to 11.7 % .,2
66,Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,2
67,Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,2
68,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",2
69,"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",2
70,"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",2
71,"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",2
72,"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",2
73,The Department Store Division reported an increase in sales of 4 per cent .,2
74,The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,2
75,"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",2
76,"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",2
77,- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,2
78,21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,2
79,"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",2
80,Finnish Bank of +àland reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,2
81,Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,2
82,Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,2
83,Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,2
84,"According to HKScan Finland , the plan is to increase J+ñrvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",2
85,"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",2
86,"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",2
87,"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",2
88,"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",2
89,"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",2
90,"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",2
91,"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",2
92,"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",2
93,"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",2
94,"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",2
95,"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",2
96,"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",2
97,"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",2
98,"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",2
99,"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",2
100,"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",2
101,"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .",2
102,"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",2
103,Cargo volume increased by approximately 5 % .,2
104,"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",2
105,"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",2
106,Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,2
107,Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .,2
108,Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .,2
109,Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .,2
110,Diluted EPS rose to EUR3 .68 from EUR0 .50 .,2
111,EBIT margin was up from 1.4 % to 5.1 % .,2
112,"EPS from continuing operations came in at 0.30 eur , up from 0.17 .",2
113,"Equity ratio was 60.9 % compared to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 % from the third quarter of 2006 .",2
114,"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .",2
115,"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .",2
116,Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,2
117,Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,2
118,"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .",2
119,Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .,2
120,Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,2
121,Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .,2
122,"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 .",2
123,"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 .",2
124,Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .,2
125,First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .,2
126,"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",2
127,"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .",2
128,"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .",2
129,"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",2
130,"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .",2
131,"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",2
132,"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an increase of 1.9 percent from the sales of 19.92 million liters in December 2004 .",2
133,"In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 .",2
134,"In Q1 of 2010 , Bank of +àland 's net interest income increased from EUR 9.1 mn to EUR 9.7 mn .",2
135,"In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005 .",2
136,"In the fourth quarter of 2009 , Orion 's net profit went up by 33.8 % year-on-year to EUR33m .",2
137,"In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",2
138,"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 .",2
139,"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .",2
140,"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth .",2
141,Its market share widened to 48.51 percent from 48.31 percent a year earlier .,2
142,"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .",2
143,"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .",2
144,Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,2
145,"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",2
146,"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .",2
147,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .",2
148,"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1",2
149,"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s",2
150,"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates .",2
151,Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,2
152,"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .",2
153,"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .",2
154,Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .,2
155,"Nokia Multimedia 's net sales totaled EUR 5.7 bn , up 45 % from the corresponding period in 2005 .",2
156,Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .,2
157,"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .",2
158,Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .,2
159,Operating profit rose to 22.1 mln eur from 19.9 mln .,2
160,Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,2
161,Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .,2
162,Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .,2
163,Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006 .,2
164,Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .,2
165,Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .,2
166,Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .,2
167,Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .,2
168,Operating profit rose to EUR 9.2 mn from EUR 6.8 mn in the corresponding period in 2007 .,2
169,Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier .,2
170,"Operating profit surged to EUR21m from EUR106 ,000 .",2
171,"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .",2
172,"Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn .",2
173,"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .",2
174,"Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn .",2
175,"Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .",2
176,Orders received grew by 55 % year-on-year to EUR732m .,2
177,Orion Pharma 's operating profit increased by 42.5 % from 2004 .,2
178,Passenger volumes rose by 8.4 % in the accounting period .,2
179,Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 .,2
180,Pretax profit rose to EUR 0.6 mn from EUR 0.4 mn in the corresponding period in 2005 .,2
181,"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .",2
182,Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .,2
183,"Pre-tax profit totaled EUR 397.4 mn , up from EUR 164.7 mn .",2
184,"Profit for the period totaled EUR 39.4 mn , up from EUR 33.9 mn in the corresponding period in 2006 .",2
185,"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",2
186,"Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 .",2
187,Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) .,2
188,"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .",2
189,Revenues at the same time grew 14 percent to 43 million euros .,2
190,"Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 .",2
191,Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn .,2
192,"Satama 's net profit for the third quarter of 2007 rose to 275,000 euro ( $ 395,000 ) from 270,000 euro ( $ 388,000 ) for the same period of 2006 .",2
193,"Section : Regional News - The demand in Finnair 's Asian traffic , measured in passenger kilometers , was up 34.9 % in August compare to last year .",2
194,"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 6.1 percent growth in beer sales for January-September to 101.99 million liters .",2
195,That would be an increase from estimated sales of 117 million last year .,2
196,"The chain posted sales of 298 million euros for full 2005 , a rise of 19.5 percent , year-on-year .",2
197,The company expects its net sales in 2008 to increase 5-10 % from 2007 .,2
198,"The company 's operating income ( EBIT ) totalled EUR 0.0 mn , up from EUR -0.3 mn year-on-year .",2
199,The EPS outlook was increased by 5.6 pct for 2007 and 7.0 pct for 2008 .,2
200,"The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006 .",2
201,"The Finnish government announced Wednesday that it sold a 32 percent stake in chemicals and fertilizer group Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , sending the company 's share price up 6 percent .",2
202,"The Helsinki-based company , which also owns the Salomon , Atomic and Suunto brands , said net profit rose 15 percent in the three months through Dec. 31 to (  x20ac ) 47 million ( $ 61US million ) , from (  x20ac ) 40.8 million a year earlier .",2
203,The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005 .,2
204,The stock rose for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .,2
205,The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .,2
206,The transactions would increase earnings per share in the first quarter by some EUR0 .28 .,2
207,Total operating revenue grew by 27.6 % year-on-year to EUR61m .,2
208,Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .,2
209,"`` BasWare 's product sales grew strongly in the financial period , by 24 percent .",2
210,1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .,2
211,Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million .,2
212,Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 .,2
213,Commission income rose by 25.7 % to EUR 16.1 mn from EUR 12.8 mn in 2004 .,2
214,"Earnings per share for January-June 2010 were EUR0 .30 , an increase of 20 % year-on-year EUR0 .25 .",2
215,Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .,2
216,"Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .",2
217,"EPS for the quarter came in at 0.36 eur , up from 0.33 eur a year ago and ahead of forecast of 0.33 eur .",2
218,EPS grew to 0.04 eur from 0.02 eur .,2
219,Exports grew 16.5 percent to 19.1 million liters .,2
220,"Finnish investment group Panostaja Oyj said its net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 , ended October 31 , 2006 , from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05 .",2
221,Finnish metal components supplier Componenta Oyj said its net profit went up to 3.5 mln euro $ 4.5 mln in 2006 from 2.2 mln euro $ 2.8 mln in 2005 .,2
222,"Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V reported on Thursday 30 October an operating profit of EUR7 .4 m for January-September 2008 , up from EUR6 .1 m in the corresponding period in 2007 .",2
223,"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn .",2
224,"However , the proportion of the paid standing orders grew in 2009 .",2
225,"In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 .",2
226,"In July-September 2008 , YIT 's net sales increased to EUR 970.8 mn , compared to EUR 906.8 mn in the corresponding period in 2007 .",2
227,"In the reporting period , net sales rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period .",2
228,"In the reporting period , the company 's operating profit grew by 43.2 % to EUR 6 million .",2
229,Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million .,2
230,"Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 .",2
231,Marimekko Group 's full-year net sales are estimated to increase by about 10 % .,2
232,Net sales surged by 30 % to EUR 36 million .,2
233,"Nevertheless , its market share rose to 49.14 percent from 48.51 percent a year earlier .",2
234,"October-December sales were 302 mln eur , or a 25.3 pct increase year on year .",2
235,"Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this year that the Lithuanian brewery 's sales reached 15.04 million euros last year , a rise of 20.4 percent from 12.49 million euros in 2004 .",2
236,Olvi expects sales and market share to increase in the first quarter of 2010 .,2
237,Operating profit increased to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .,2
238,Operating profit of the Asian plants grew markedly .,2
239,"Operating profit totaled EUR 825mn , up from EUR 763mn in 2004 .",2
